// 2022/05/02 23:10:35
// ReaderName=impinj-14-5a-9f, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=20, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2022-05-02T23:13:05.0316120+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.0709960+09:00,300833B2DDD9014000000000,,1,-55,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.1064310+09:00,300833B2DDD9014000000000,,1,-55,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.1571580+09:00,300833B2DDD9014000000000,,4,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.1866770+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.2264190+09:00,300833B2DDD9014000000000,,1,-55.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.2601420+09:00,300833B2DDD9014000000000,,1,-55,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.3109430+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.3434470+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.3792240+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.4121410+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.4617170+09:00,300833B2DDD9014000000000,,4,-53.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.4953650+09:00,300833B2DDD9014000000000,,4,-53.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.5314230+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.5653430+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.6197730+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.6522400+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.6892330+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.7243480+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.7741520+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.8045460+09:00,300833B2DDD9014000000000,,4,-52.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.8439420+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.8774170+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.9286310+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:05.9628600+09:00,300833B2DDD9014000000000,,4,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.0014230+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.0342280+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.0843920+09:00,300833B2DDD9014000000000,,4,-52.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.1157150+09:00,300833B2DDD9014000000000,,4,-52.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.1549640+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.1897170+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.2384520+09:00,300833B2DDD9014000000000,,4,-52.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.2703890+09:00,300833B2DDD9014000000000,,4,-52.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.3099530+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:06.3412270+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
